Marijuana_Arrest Type,Adult/Juvenile,Arrest Year,Arrest Date,Arrest Time,CCN,Age,Offense Location District,Offense Location PSA,Offense Location Block GEOX,Offense Location Block GEOY,Defendant PSA,Defendant District,Defendant Race,Defendant Ethnicity,Defendant Sex,Arrest Category,Charge Description,Arrest Location Block Address,Arrest Location Block GeoX,Arrest Location Block GeoY
Possession,Adult,2012,1/1/12,1:00:00,b';\xc8k~\xa4iJ',20,5D,501,399700,137900,Out of State,Out of State,B ,N ,F,Narcotics,Ucsa Possession Marijuana,FLORIDA AVE NE,401400,136900
Possession,Adult,2012,1/1/12,1:00:00,b';\xc8k~\xa4iJ',23,5D,501,399700,137900,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,FLORIDA AVE NE,401400,136900
Possession,Adult,2012,1/1/12,1:00:00,b't6\xa0\xac\xec`\xa4',46,7D,707,399700,130600,705,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3300 BLOCK OF BROTHERS PL SE,399700,130600
Possession,Adult,2012,1/1/12,4:35:00,b'\xbe\x1d\xa7\xf5\xffWx',30,6D,605,403300,134500,605,6D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,700 BLOCK OF 32ND ST SE,,
Possession with intent to distribute,Adult,2012,1/2/12,14:40:00,b'\xbb\xc0\x8e\x94\x81\xac\xcd',29,6D,604,406400,135300,,,U,U ,M,Narcotics,Ucsa Pwid Marijuana,5300 BLOCK OF B ST SE,,
Possession,Adult,2012,1/2/12,16:47:00,b'\x94\xd2y\xaa\xf5\x1a\xcc',33,6D,604,406700,135700,301,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,UNIT BLOCK OF 55TH ST SE,406700,135700
Possession with intent to distribute,Adult,2012,1/2/12,20:30:00,b'\x86\xb5?\x7f\xe1\xde\x86',28,6D,601,404300,137400,502,5D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,3700 BLOCK OF HAYES ST NE,404300,137400
Possession,Adult,2012,1/3/12,2:05:00,b'\nt\xb3~+\xca\xe6',36,5D,501,399300,138000,702,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,BATES ST NW,,
Possession with intent to distribute,Adult,2012,1/3/12,17:01:00,b'6\x1d\xfa/y\xe0:',35,6D,604,406200,135000,604,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,400 BLOCK OF 51ST ST SE,406200,135000
Possession,Adult,2012,1/3/12,23:15:00,b'\x8f.\xc0.\x99\\\xca',27,4D,403,397600,143000,501,5D,U,U ,M,Narcotics,Ucsa Possession Marijuana,5400 BLOCK OF GEORGIA AVE NW,397600,143000
Possession,Adult,2012,1/3/12,23:15:00,b'\x8f.\xc0.\x99\\\xca',30,4D,403,397600,143000,501,5D,U,U ,M,Narcotics,Ucsa Possession Marijuana,5400 BLOCK OF GEORGIA AVE NW,397600,143000
Possession,Adult,2012,1/3/12,23:15:00,b'\x8f.\xc0.\x99\\\xca',43,4D,403,397600,143000,,,U,U ,M,Narcotics,Ucsa Possession Marijuana,5400 BLOCK OF GEORGIA AVE NW,397600,143000
Possession,Adult,2012,1/4/12,0:52:00,b'\xa0\xe7K\x98:\x85/',20,7D,701,401300,133400,607,6D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,1400 BLOCK OF S ST SE,401300,133400
Possession,Adult,2012,1/4/12,3:10:00,b'f\x10\xee\x1b\xb3.\xba',40,7D,701,401800,133000,604,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1800 BLOCK OF GOODHOPE RD SE,401800,133000
Possession,Adult,2012,1/4/12,16:46:00,b'>d\xdd\x91\x04\xfd#',29,5D,503,403700,139900,404,4D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,3700 BLOCK OF 9TH ST NW,397800,141000
Possession,Adult,2012,1/4/12,17:30:00,b'\xb9\x0fkS\xf8\x1f(',19,1D,101,397400,137200,402,4D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,EUCLID ST NW,398000,139600
Possession with intent to distribute,Adult,2012,1/4/12,17:55:00,b'\t\xf3\xabF`\xd1I',20,6D,602,406600,137300,602,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,5200 BLOCK OF SHERIFF RD NE,,
Possession,Adult,2012,1/4/12,18:20:00,"b'\xe8\x9a,4\x91\xbb\xed'",27,7D,708,399400,129300,602,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,HALF / POTOMAC AVE SW,,
Possession,Adult,2012,1/4/12,18:30:00,"b""\xaam'\xfc\x99\x80\xdc""",42,6D,607,401300,133300,701,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1400 BLOCK OF T ST SE,,
Possession with intent to distribute,Adult,2012,1/4/12,18:35:00,b'\x16\xe5\xc0\x199q\xb7',43,6D,605,402900,134300,607,6D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,NELSON PL SE,,
Possession with intent to distribute,Adult,2012,1/4/12,19:10:00,b'q\x8d\x8c_%\x11\x80',21,6D,604,406500,134900,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,5300 BLOCK OF E ST SE,406500,134900
Possession with intent to distribute,Adult,2012,1/4/12,19:10:00,b'\xc7f\xbd{\x81/\xbe',43,6D,607,402700,133700,701,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,27TH ST SE,402700,133400
Possession with intent to distribute,Adult,2012,1/4/12,19:25:00,b'\xd4\x00~R\xdd\xc0\xb3',31,3D,304,397800,139600,302,3D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,2600 BLOCK OF SHERMAN AVE NW,397800,139600
Possession,Adult,2012,1/4/12,19:30:00,b'\x91re\xe5N\x1fT',44,1D,105,398700,134100,105,1D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,1300 BLOCK OF DELAWARE AVE SW,,
Possession,Adult,2012,1/4/12,19:30:00,b'\x91re\xe5N\x1fT',44,1D,105,398700,134100,105,1D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,DELAWARE AVE SW,401100,133000
Possession,Adult,2012,1/4/12,21:18:00,b'\xf4\xb8\xbf\xefLcN',34,5D,505,401100,139300,302,3D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,1300 BLOCK OF SARATOGA AVE NE,401100,139300
Possession with intent to distribute,Adult,2012,1/5/12,14:03:00,b'!j\x90\x15\xa8\xe1\x9b',25,5D,505,400400,138800,601,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,BRENTWOOD RD NE,400700,139000
Possession with intent to distribute,Adult,2012,1/5/12,14:03:00,b'!j\x90\x15\xa8\xe1\x9b',38,5D,505,400400,138800,102,1D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,BRENTWOOD RD NE,400700,139000
Possession with intent to distribute,Adult,2012,1/5/12,17:10:00,b'\xb0`\x11\xb9\xe5\xa5O',27,6D,603,404500,135900,603,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,3900 BLOCK OF AMES ST NE,404500,135900
Possession,Adult,2012,1/5/12,17:10:00,b'\xb0`\x11\xb9\xe5\xa5O',30,6D,603,404500,135900,603,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3900 BLOCK OF AMES ST NE,404500,135900
Possession,Adult,2012,1/5/12,17:12:00,b'\x01\xb9Qj*\xd2a',23,6D,605,403400,134000,308,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,O ST NW,396700,137900
Possession with intent to distribute,Adult,2012,1/5/12,17:53:00,b'e\xa8\x87D\xd4p\xce',41,6D,602,406100,136300,604,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,300 BLOCK OF 50TH ST NE,406100,136300
Possession with intent to distribute,Adult,2012,1/5/12,18:30:00,b'\x97\xfe\xee\xa5\xcbm)',23,5D,507,401600,137300,401,4D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,1600 BLOCK OF L ST NE,401700,137300
Possession,Adult,2012,1/5/12,18:30:00,b'\xc0i!\xcc\xff\x18G',35,6D,603,404500,135900,601,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3600 BLOCK OF JAY ST NE,,
